MassH-	MassH+
3.169	3.169
1.315	1.327
1.238	1.238
0.734	0.742
2.403	2.403
0.729	0.737
1.681	1.681
1.017	1.026
3.393	3.393
1.602	1.626
1.212	1.212
0.465	0.476
4.503	4.503
0.53	0.539
4.503	4.503
3.842	3.955
5.438	5.438
0.59	0.599
6.999	6.999
3.2	    3.282
6.999	6.999
0.403	0.413
1.271	1.271
0.156	0.159
6.541	6.541
1.39	1.413
6.541	6.541
0.404	0.415
1.319	1.319
0.149	0.152
4.098	4.098
1.443	1.47
1.379	1.379
0.294	0.302
1.745	1.745
0.157	0.16
2.017	2.017
0.613	0.622
1.786	1.786
0.938	0.95
1.552	1.552
0.659	0.667
1.291	1.291
1.108	1.12
1.521	1.521
0.113	0.115
1.521	1.521
0.995	1.007
2.717	2.717
1.844	1.882
3.65	3.65
0.616	0.624
3.533	3.533
0.18	0.184
	
	
	
	
	
	
	
	
	
	
4.721	4.721
0.61	0.618
2.454	2.454
1.373	1.392
1.432	1.432
1.022	1.032
4.287	4.287
1.175	1.189
4.287	4.287
0.845	0.856
4.683	4.683
1.359	1.372
1.821	1.821
1.388	1.403
1.616	1.616
0.153	0.155
1.605	1.605
1.593	1.617
1.634	1.634
0.509	0.516
	
	
1.66	1.66
0.11	0.112
	
	
3.196	3.196
2.225	2.43
1.464	1.464
0.1	    0.1
1.466	1.466
0.121	0.122
1.466	1.466
0.474	0.482
1.568	1.568
0.15	0.153
1.568	1.568
0.1	    0.1
1.568	1.568
0.144	0.146
	
	
