MassJ-	MassJ+
3.182	3.182
1.396	1.41
1.338	1.338
0.791	0.799
2.476	2.476
0.841	0.85
1.762	1.762
1.077	1.086
3.399	3.399
1.722	1.744
1.237	1.237
0.325	0.336
4.091	4.091
0.673	0.682
4.091	4.091
4.1	    4.217
5.339	5.339
0.561	0.57
6.572	6.572
2.782	2.878
6.572	6.572
0.415	0.425
1.37	1.37
0.161	0.163
6.143	6.143
1.349	1.368
6.143	6.143
0.43	0.441
1.433	1.433
0.141	0.143
4.137	4.137
1.545	1.565
1.506	1.506
0.309	0.318
1.72	1.72
0.146	0.149
2.108	2.108
0.61	0.618
1.832	1.832
1.062	1.075
1.619	1.619
0.816	0.824
1.374	1.374
1.212	1.224
1.635	1.635
0.104	0.105
1.635	1.635
1.037	1.048
2.74	2.74
1.856	1.892
3.579	3.579
0.615	0.623
3.434	3.434
0.176	0.18
	
	
	
	
	
	
	
	
	
	
4.397	4.397
0.682	0.689
2.14	2.14
1.63	1.658
1.527	1.527
1.081	1.09
4.291	4.291
1.27	1.284
4.291	4.291
0.766	0.773
4.664	4.664
1.45	1.467
1.897	1.897
1.465	1.483
1.675	1.675
0.163	0.166
1.656	1.656
1.635	1.655
1.711	1.711
0.518	0.525
	
	
1.708	1.708
0.114	0.115
	
	
2.097	2.097
1.72	1.751
1.556	1.556
0.1	    0.1
1.559	1.559
0.13	0.132
1.559	1.559
0.474	0.482
1.647	1.647
0.155	0.158
1.647	1.647
0.102	0.104
1.647	1.647
0.126	0.128
