MassK-	MassK+
3.162	3.162
1.25	1.265
1.221	1.221
0.72	0.729
2.241	2.241
0.715	0.723
1.665	1.665
1.002	1.012
3.387	3.387
1.556	1.581
1.21	1.21
0.494	0.505
4.67	4.67
0.481	0.491
4.67	4.67
3.931	4.062
5.719	5.719
0.602	0.611
6.999	6.999
3.074	3.167
6.999	6.999
0.398	0.408
1.252	1.252
0.137	0.139
6.999	6.999
1.6	    1.634
6.999	6.999
0.442	0.454
1.3	    1.3
0.136	0.139
4.143	4.143
1.446	1.473
1.37	1.37
0.273	0.282
1.754	1.754
0.16	0.164
1.988	1.988
0.618	0.627
1.768	1.768
0.892	0.906
1.543	1.543
0.566	0.573
1.537	1.537
1.303	1.315
1.533	1.533
0.104	0.106
1.533	1.533
1.023	1.035
2.743	2.743
1.822	1.86
3.75	3.75
0.624	0.633
3.614	3.614
0.225	0.232
5.198	5.198
0.429	0.437
5.198	5.198
0.206	0.211
3.368	3.368
0.448	0.46
3.096	3.096
0.347	0.355
3.096	3.096
0.136	0.139
5.092	5.092
0.58	0.588
2.197	2.197
1.407	1.434
1.42	1.42
1.014	1.024
4.438	4.438
1.132	1.145
4.438	4.438
0.898	0.909
4.884	4.884
1.343	1.356
1.79	1.79
1.376	1.39
1.607	1.607
0.138	0.14
1.592	1.592
1.582	1.607
1.605	1.605
0.521	0.529
1.816	1.816
0.235	0.241
1.656	1.656
0.106	0.108
1.582	1.582
0.147	0.15
3.346	3.346
2.707	2.792
1.445	1.445
0.1	    0.1
1.444	1.444
0.109	0.111
1.444	1.444
0.478	0.486
1.551	1.551
0.147	0.15
1.551	1.551
0.1	    0.1
1.551	1.551
0.117	0.119
1.353	1.353
0.1	    0.1
